存货编号,规格型号,期末
,,
1.0,AAPAL13-60-P8.45,1.0
3.0,AHD13-20-P6.66-SKC,1.0
4.0,AHD13-35-P3.69,1.0
5.0,AHD13-35-P3.69,2.0
6.0,EKSD16-20-P6.24,2.0
7.0,AHD13-LC37.8-P6.26,1.0
8.0,AHD13-LC45-P6.26,1.0
9.0,AHD13-LC47.8-P6.26,1.0
10.0,AHD16-35-P5.25,2.0
11.0,AHD16-35-P6.68,2.0
12.0,AHD16-40-P8.19,1.0
13.0,AHD16-LC38-P6.7,1.0
14.0,AHD16-LC45-P8.16,1.0
15.0,AHD16-LC50-P6.18,1.0
16.0,AHD20-32-P8.25,1.0
17.0,AHD20-35-P8.25,2.0
18.0,AHD20-35-P9.22,1.0
19.0,AHD20-LC41.8-P12.26-W8.16-SKC,1.0
20.0,AHDE20-35-P12.26-W7.16-SKC,1.0
21.0,AHDE20-35-P8.68-W6.68,1.0
23.0,AJAL10-LC85-P13.1-SKC,1.0
24.0,AJAL13-LC87-P8.5,1.0
25.0,AJAX13-80-P10.05-SKC,1.0
26.0,AJES20-LC75-P19-W8.5-SKC,1.0
27.0,EKSD20-20-P8.3,2.0
31.0,APAL10-110-P6.66-SKC,1.0
32.0,APAL10-70-P7.0,1.0
33.0,APAL10-70-P7.24,1.0
37.0,APAL10-LC118-P6.5-SKC,2.0
38.0,APAL10-LC67-P8.4,2.0
39.0,APAL13-60-P8.45,1.0
40.0,EKSD16-20-P8.13,2.0
41.0,EKDE22-16-P12.28-W7.13,3.0
42.0,EKSD16-20-P7.32,2.0
44.0,APAL13-88-P8.1,1.0
45.0,APAL13-LC65-P7.05,2.0
46.0,EKSD16-20-P8.40,2.0
47.0,EKDE22-20-P12.39-W7.24,2.0
48.0,APAL16-110-P13,2.0
50.0,APAL16-53-P13.6,2.0
51.0,APAL16-60-P12.2,1.0
52.0,APAL16-80-P13.1,5.0
54.0,EKDE32-20-P16.47-W11.32,2.0
55.0,APAL20-78-P12.35,1.0
56.0,APAL20-78-P12.35,1.0
57.0,APAL25-90-P20.2,3.0
58.0,APAL8-80.0-P5.5,1.0
60.0,APAL8-80-P4.0,1.0
61.0,APAS10-70-P6.7,1.0
62.0,APAS10-80-P7.3,1.0
63.0,APAS10-LC73-P6.0,1.0
64.0,APAS13-130-P9.1,1.0
65.0,APAS13-130-P9.1,1.0
66.0,APAS13-130-P9.10,3.0
67.0,APAS13-60-P11.04,1.0
68.0,APAS13-60-P11.05,1.0
69.0,APAS13-60-P11.1,1.0
70.0,APAS13-60-P6.9,5.0
71.0,APAS13-60-P9.1,4.0
72.0,APAS13-90-P7.1,1.0
73.0,APAS13-LC77-P8.7,1.0
74.0,APAS13-LC78-P7.13,1.0
75.0,APAS16-65-P13.15,1.0
77.0,EKSD32-20-P15.13,2.0
78.0,APAS16-LC62.00-P13.28,2.0
79.0,APAS20-80-P12.2,2.0
80.0,APAS20-80-P17.1,2.0
81.0,APAS8-50.00-P6.4,1.0
82.0,APAS8-LC75-P6.05,1.0
83.0,APAS-C10-70-P5.4,1.0
84.0,APAX13-LC83-P8.18,1.0
85.0,APEL10-95-P8.25-W6.24,1.0
86.0,APEL10-LC95-P8.25-W6.24,1.0
87.0,APEL13-105-P12.18-W7.08-SKC,4.0
88.0,APEL13-108-P12.18-W7.08-SKC,3.0
89.0,APEL13-80-P11.5-W10.2-KC90,1.0
91.0,APEL13-86-P12-W4-SKC,2.0
92.0,APEL13-LC67-P12.10-W10.10,1.0
93.0,APEL16-110-P10.4-W8.08-SKC,2.0
95.0,APEL16-60-P13.1-W10-SKC,1.0
96.0,APEL16-73-P14.15-W12.15-SKC,1.0
97.0,APEL16-80-P12.06-W7.06-SKC,1.0
98.0,APEL16-80-P14.82-W6.5-SKC,1.0
99.0,APEL16-95-P14-W12,2.0
100.0,APEL16-LC60-P11.48-W6.28-SKC,2.0
101.0,APEL16-LC77-P11.15-W8.5,1.0
102.0,APEL16-LC78-P10.1-W6.4,1.0
103.0,APEL20-90-P17.1-W13.1,4.0
104.0,APES10-80-P7.04-W5.04,1.0
105.0,APES16-100-P14.3-W8.25,1.0
106.0,APES16-60-P13.1-W10.0-SKC,1.0
107.0,EKDE45-20-P32.33-W30.40,2.0
108.0,EKSD22-20-P12.13,2.0
109.0,APES16-LC77-P11.1-W8.4,1.0
110.0,APES16-LC77-P11.1-W8.5,3.0
111.0,APES16-LC77-P11.2-W8.5,1.0
112.0,EKSD25-20-P14.35,3.0
113.0,APJAL10-120-P6.05,2.0
114.0,APJAL10-120-P6.05-SKC,2.0
115.0,APJAL10-120-P6.05-SKC,2.0
117.0,APJAL10-60-P8.10,1.0
118.0,APJAL10-75-P9.1,1.0
119.0,APJAL10-80-P5.55-SKC,1.0
120.0,APJAL10-80-P5.55-SKC,1.0
121.0,APJAL10-80-P5.55-SKC,1.0
122.0,APJAL10-80-P5.55-SKC,2.0
123.0,APJAL10-80-P6.0,1.0
124.0,APJAL10-80-P6.0,1.0
125.0,APJAL10-80-P6.03,1.0
126.0,APJAL10-80-P6.03,1.0
127.0,EKDE20-20-P10.43-W8.28,2.0
129.0,EKSD13-20-P7.20,2.0
130.0,EKDE22-20-P12.39-W8.24,2.0
131.0,EKSD22-20-P12.32,3.0
134.0,APJAL10-80-P8.05,5.0
135.0,SJES 16-60-P12.15-W7.00-SKC,2.0
136.0,EKSD16-20-P7.13,3.0
137.0,APJAL10-LC73-P6.05,2.0
138.0,APJAL10-LC87-P6.35,3.0
139.0,APJAL10-LC97-P7.25,1.0
140.0,APJAL13-100-P9.07,1.0
141.0,EKSD20-20-P7.07,2.0
142.0,APJAL13-125-P8.08,2.0
